辞書,文境界,キー（＝表層形）,語彙素,語彙素細分類,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,この,此の,,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
現代語,I,確信,確信,,カクシン,名詞-普通名詞-サ変可能,,,カクシン,カクシン,漢,確信,カクシン,6179
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,持っ,持つ,,モツ,動詞-一般,五段-タ行,連用形-促音便,モッ,モッ,和,持つ,モツ,37804
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,いる,居る,,イル,動詞-非自立可能,上一段-ア行,終止形-一般,イル,イル,和,いる,イル,2585
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,人間,人間,,ニンゲン,名詞-普通名詞-一般,,,ニンゲン,ニンゲン,漢,人間,ニンゲン,28642
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,いう,言う,,イウ,動詞-一般,五段-ワア行,連体形-一般,イウ,イウ,和,いう,イウ,1571
現代語,I,デバイス,デバイス,device,デバイス,名詞-普通名詞-一般,,,デバイス,デバイス,外,デバイス,デバイス,25681
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,あまり,余り,,アマリ,形状詞-一般,,,アマリ,アマリ,和,あまり,アマリ,1031
現代語,I,に,だ,,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
現代語,I,予測,予測,,ヨソク,名詞-普通名詞-サ変可能,,,ヨソク,ヨソク,漢,予測,ヨソク,39363
現代語,I,不,不,,フ,接頭辞,,,フ,フ,漢,不,フ,32288
現代語,I,可能,可能,,カノウ,形状詞-一般,,,カノー,カノウ,漢,可能,カノウ,6969
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,脳内,脳内,,ノウナイ,名詞-普通名詞-一般,,,ノーナイ,ノウナイ,漢,脳内,ノウナイ,29055
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,仮想,仮想,,カソウ,名詞-普通名詞-サ変可能,,,カソー,カソウ,漢,仮想,カソウ,6578
現代語,I,環境,環境,,カンキョウ,名詞-普通名詞-一般,,,カンキョー,カンキョウ,漢,環境,カンキョウ,7531
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,シミュレーション,シミュレーション,simulation,シミュレーション,名詞-普通名詞-サ変可能,,,シミュレーション,シミュレーション,外,シミュレーション,シミュレーション,15768
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,実行,実行,,ジッコウ,名詞-普通名詞-サ変可能,,,ジッコー,ジッコウ,漢,実行,ジッコウ,17936
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,現実,現実,,ゲンジツ,名詞-普通名詞-一般,,,ゲンジツ,ゲンジツ,漢,現実,ゲンジツ,11688
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,挙動,挙動,,キョドウ,名詞-普通名詞-一般,,,キョドー,キョドウ,漢,挙動,キョドウ,9429
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,しばしば,屡,,シバシバ,副詞,,,シバシバ,シバシバ,和,しばしば,シバシバ,15663
現代語,I,ラン,ラン,run,ラン,名詞-普通名詞-サ変可能,,,ラン,ラン,外,ラン,ラン,39788
現代語,I,タイム,タイム,time,タイム,名詞-普通名詞-一般,,,タイム,タイム,外,タイム,タイム,21929
現代語,I,エラー,エラー,error,エラー,名詞-普通名詞-サ変可能,,,エラー,エラー,外,エラー,エラー,4088
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,終わる,終わる,,オワル,動詞-非自立可能,五段-ラ行,終止形-一般,オワル,オワル,和,終わる,オワル,5397
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,クラスメイト,クラスメート,classmate,クラスメート,名詞-普通名詞-一般,,,クラスメート,クラスメイト,外,クラスメイト,クラスメイト,10435
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,いう,言う,,イウ,動詞-一般,五段-ワア行,連体形-一般,イウ,イウ,和,いう,イウ,1571
現代語,I,変数,変数,,ヘンスウ,名詞-普通名詞-一般,,,ヘンスー,ヘンスウ,漢,変数,ヘンスウ,34051
現代語,I,群,群,,グン,名詞-普通名詞-一般,,,グン,グン,漢,群,グン,10828
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,型,型,,カタ,名詞-普通名詞-一般,,,カタ,カタ,和,型,カタ,6593
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,不定,不定,,フテイ,名詞-普通名詞-形状詞可能,,,フテー,フテイ,漢,不定,フテイ,32930
現代語,I,で,だ,,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,突然,突然,,トツゼン,副詞,,,トツゼン,トツゼン,漢,突然,トツゼン,26500
現代語,I,n,Ｎ,,エヌ,記号-文字,,,エヌ,エヌ,記号,n,エヌ,3936
現代語,I,u,Ｕ,,ユー,記号-文字,,,ユー,ユー,記号,u,ユー,38951
現代語,I,l,Ｌ,,エル,記号-文字,,,エル,エル,記号,l,エル,4109
現代語,I,l,Ｌ,,エル,記号-文字,,,エル,エル,記号,l,エル,4109
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,返し,返す,,カエス,動詞-一般,五段-サ行,連用形-一般,カエシ,カエシ,和,返す,カエス,5967
現代語,I,たり,たり,,タリ,助詞-副助詞,,,タリ,タリ,和,たり,タリ,22727
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,予期,予期,,ヨキ,名詞-普通名詞-サ変可能,,,ヨキ,ヨキ,漢,予期,ヨキ,39173
現代語,I,せ,為る,,スル,動詞-非自立可能,サ行変格,未然形-セ,セ,セ,和,する,スル,19537
現代語,I,ぬ,ず,,ズ,助動詞,助動詞-ヌ,連体形-一般,ヌ,ヌ,和,ぬ,ヌ,19587
現代語,I,例外,例外,,レイガイ,名詞-普通名詞-一般,,,レーガイ,レイガイ,漢,例外,レイガイ,40573
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,投げ,投げる,,ナゲル,動詞-一般,下一段-ガ行,連用形-一般,ナゲ,ナゲ,和,投げる,ナゲル,27801
現代語,I,たり,たり,,タリ,助詞-副助詞,,,タリ,タリ,和,たり,タリ,22727
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,終止形-一般,スル,スル,和,する,スル,19537
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I, だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,から,から,,カラ,助詞-接続助詞,,,カラ,カラ,和,から,カラ,7218
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,常,常,,ツネ,名詞-普通名詞-一般,,,ツネ,ツネ,和,常,ツネ,24683
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,向き合う,向き合う,,ムキアウ,動詞-一般,五段-ワア行,終止形-一般,ムキアウ,ムキアウ,和,向き合う,ムキアウ,87838
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,いい,良い,,ヨイ,形容詞-非自立可能,形容詞,終止形-一般,イー,イイ,和,いい,イイ,38988
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,予測,予測,,ヨソク,名詞-普通名詞-サ変可能,,,ヨソク,ヨソク,漢,予測,ヨソク,39363
現代語,I,可能,可能,,カノウ,形状詞-一般,,,カノー,カノウ,漢,可能,カノウ,6969
現代語,I,な,だ,,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
現代語,I,範囲,範囲,,ハンイ,名詞-普通名詞-一般,,,ハンイ,ハンイ,漢,範囲,ハンイ,30315
現代語,I,内,内,,ナイ,接尾辞-名詞的-一般,,,ナイ,ナイ,漢,内,ナイ,27441
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,予測,予測,,ヨソク,名詞-普通名詞-サ変可能,,,ヨソク,ヨソク,漢,予測,ヨソク,39363
現代語,I,不,不,,フ,接頭辞,,,フ,フ,漢,不,フ,32288
現代語,I,可能,可能,,カノウ,形状詞-一般,,,カノー,カノウ,漢,可能,カノウ,6969
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,そして,そして,,ソシテ,接続詞,,,ソシテ,ソシテ,和,そして,ソシテ,21297
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,プロシージャ,プロシージャー,procedure,プロシージャー,名詞-普通名詞-一般,,,プロシージャ,プロシージャ,外,プロシージャ,プロシージャ,33770
現代語,I,ル,ル,le,ル,名詞-普通名詞-一般,,,ル,ル,外,ル,ル,40451
現代語,I,で,だ,,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
現代語,I,あり,有る,,アル,動詞-非自立可能,五段-ラ行,連用形-一般,アリ,アリ,和,ある,アル,1216
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,何,何,,ナニ,代名詞,,,ナニ,ナニ,和,何,ナニ,27920
現代語,I,より,より,,ヨリ,助詞-格助詞,,,ヨリ,ヨリ,和,より,ヨリ,39501
現代語,I,バックアップ,バックアップ,backup,バックアップ,名詞-普通名詞-サ変可能,,,バックアップ,バックアップ,外,バックアップ,バックアップ,30669
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,容易,容易,,ヨウイ,形状詞-一般,,,ヨーイ,ヨウイ,漢,容易,ヨウイ,39014
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,ところ,所,,トコロ,名詞-普通名詞-副詞可能,,,トコロ,トコロ,和,ところ,トコロ,26373
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,今日,今日,,キョウ,名詞-普通名詞-副詞可能,,,キョー,キョウ,和,今日,キョウ,9128
現代語,I,部活,部活,,ブカツ,名詞-普通名詞-一般,,,ブカツ,ブカツ,漢,部活,ブカツ,33320
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,ある,有る,,アル,動詞-非自立可能,五段-ラ行,終止形-一般,アル,アル,和,ある,アル,1216
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,P,Ｐ,,ピー,記号-文字,,,ピー,ピー,記号,P,ピー,32239
現代語,I,+,＋,,,補助記号-一般,,,,,記号,+,,86240
現代語,I,C,Ｃ,,シー,記号-文字,,,シー,シー,記号,C,シー,17600
現代語,I,G,Ｇ,,ジー,記号-文字,,,ジー,ジー,記号,G,ジー,18833
現代語,I,部,部,,ブ,名詞-普通名詞-助数詞可能,,,ブ,ブ,漢,部,ブ,33299
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,I,―,―,,,補助記号-一般,,,,,記号,―,,1
現代語,I,―,―,,,補助記号-一般,,,,,記号,―,,1
現代語,I,中学,中学,,チュウガク,名詞-普通名詞-一般,,,チューガク,チュウガク,漢,中学,チュウガク,23770
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,珍しい,珍しい,,メズラシイ,形容詞-一般,形容詞,連体形-一般,メズラシー,メズラシイ,和,珍しい,メズラシイ,37417
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,本格,本格,,ホンカク,名詞-普通名詞-一般,,,ホンカク,ホンカク,漢,本格,ホンカク,34878
現代語,I,的,的,,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
現代語,I,な,だ,,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
現代語,I,プログラミング,プログラミング,programming,プログラミング,名詞-普通名詞-サ変可能,,,プログラミング,プログラミング,外,プログラミング,プログラミング,43535
現代語,I,部,部,,ブ,名詞-普通名詞-助数詞可能,,,ブ,ブ,漢,部,ブ,33299
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I, そこ,其処,,ソコ,代名詞,,,ソコ,ソコ,和,そこ,ソコ,21270
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,構成,構成,,コウセイ,名詞-普通名詞-サ変可能,,,コーセー,コウセイ,漢,構成,コウセイ,12169
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
現代語,I,コード,コード,code,コード,名詞-普通名詞-一般,,,コード,コード,外,コード,コード,13308
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,大,大,,ダイ,接頭辞,,,ダイ,ダイ,漢,大,ダイ,22935
現代語,I,部分,部分,,ブブン,名詞-普通名詞-一般,,,ブブン,ブブン,漢,部分,ブブン,33429
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,書き込ん,書き込む,,カキコム,動詞-一般,五段-マ行,連用形-撥音便,カキコン,カキコン,和,書き込む,カキコム,6068
現代語,I,だ,た,,タ,助動詞,助動詞-タ,連体形-一般,ダ,ダ,和,だ,ダ,21642
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,恩義,恩義,,オンギ,名詞-普通名詞-一般,,,オンギ,オンギ,漢,恩義,オンギ,54712
現代語,I,ある,有る,,アル,動詞-非自立可能,五段-ラ行,連体形-一般,アル,アル,和,ある,アル,1216
現代語,I,リポジトリ,リポジトリー,repository,リポジトリー,名詞-普通名詞-一般,,,リポジトリ,リポジトリ,外,リポジトリ,リポジトリ,168344
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,部長,部長,,ブチョウ,名詞-普通名詞-一般,,,ブチョー,ブチョウ,漢,部長,ブチョウ,33364
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,学,学,,ガク,名詞-普通名詞-一般,,,ガク,ガク,漢,学,ガク,7997
現代語,I,蒔田,マキタ,,マキタ,名詞-固有名詞-人名-姓,,,マキタ,マキタ,固,蒔田,マキタ,35537
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,彼,彼,,カレ,代名詞,,,カレ,カレ,和,彼,カレ,7330
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,カリスマ,カリスマ,charisma,カリスマ,名詞-普通名詞-一般,,,カリスマ,カリスマ,外,カリスマ,カリスマ,7283
現代語,I,で,だ,,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ,22916
現代語,I,あり,有る,,アル,動詞-非自立可能,五段-ラ行,連用形-一般,アリ,アリ,和,ある,アル,1216
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,我,我,,ワレ,代名詞,,,ワレ,ワレ,和,我,ワレ,41378
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,道,道,,ミチ,名詞-普通名詞-一般,,,ミチ,ミチ,和,道,ミチ,36514
現代語,I,へ,へ,,ヘ,助詞-格助詞,,,エ,ヘ,和,へ,ヘ,33819
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,導い,導く,,ミチビク,動詞-一般,五段-カ行,連用形-イ音便,ミチビー,ミチビイ,和,導く,ミチビク,36541
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,スタック,スタック,stack,スタック,名詞-普通名詞-一般,,,スタック,スタック,外,スタック,スタック,19212
現代語,I,ポインタ,ポインター,pointer,ポインター,名詞-普通名詞-一般,,,ポインタ,ポインタ,外,ポインタ,ポインタ,35286
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,よう,様,,ヨウ,形状詞-助動詞語幹,,,ヨー,ヨウ,漢,よう,ヨウ,39002
現代語,I,な,だ,,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
現代語,I,存在,存在,,ソンザイ,名詞-普通名詞-サ変可能,,,ソンザイ,ソンザイ,漢,存在,ソンザイ,21491
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,が,が,,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ,7888
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,最近,最近,,サイキン,名詞-普通名詞-副詞可能,,,サイキン,サイキン,漢,最近,サイキン,13675
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,私,私,,ワタシ,代名詞,,,ワタシ,ワタシ,和,私,ワタシ,41277
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,彼,彼,,カレ,代名詞,,,カレ,カレ,和,彼,カレ,7330
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,直視,直視,,チョクシ,名詞-普通名詞-サ変可能,,,チョクシ,チョクシ,漢,直視,チョクシ,24147
現代語,I,でき,出来る,,デキル,動詞-非自立可能,上一段-カ行,未然形-一般,デキ,デキ,和,できる,デキル,25624
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,彼,彼,,カレ,代名詞,,,カレ,カレ,和,彼,カレ,7330
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,あろう,有る,,アル,動詞-非自立可能,五段-ラ行,意志推量形,アロー,アロウ,和,ある,アル,1216
現代語,I,こと,事,,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
現代語,I,か,か,,カ,助詞-副助詞,,,カ,カ,和,か,カ,5568
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,いう,言う,,イウ,動詞-一般,五段-ワア行,連体形-一般,イウ,イウ,和,いう,イウ,1571
現代語,I,『,『,,,補助記号-括弧開,,,,,記号,『,,35
現代語,I,命,命,,イノチ,名詞-普通名詞-一般,,,イノチ,イノチ,和,命,イノチ,2401
現代語,I,』,』,,,補助記号-括弧閉,,,,,記号,』,,36
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,昨日,昨日,,キノウ,名詞-普通名詞-副詞可能,,,キノー,キノウ,和,昨日,キノウ,8758
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,夕飯,夕飯,,ユウハン,名詞-普通名詞-一般,,,ユーハン,ユウハン,混,夕飯,ユウハン,38710
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,献立,献立,,コンダテ,名詞-普通名詞-一般,,,コンダテ,コンダテ,混,献立,コンダテ,13213
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,話す,話す,,ハナス,動詞-一般,五段-サ行,連体形-一般,ハナス,ハナス,和,話す,ハナス,29989
現代語,I,よう,様,,ヨウ,形状詞-助動詞語幹,,,ヨー,ヨウ,漢,よう,ヨウ,39002
現代語,I,な,だ,,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
現代語,I,軽薄,軽薄,,ケイハク,名詞-普通名詞-形状詞可能,,,ケーハク,ケイハク,漢,軽薄,ケイハク,11029
現代語,I,さ,さ,,サ,接尾辞-名詞的-一般,,,サ,サ,和,さ,サ,13619
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,他人,他人,,タニン,名詞-普通名詞-一般,,,タニン,タニン,漢,他人,タニン,22563
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,供する,供する,,キョウスル,動詞-一般,サ行変格,終止形-一般,キョースル,キョウスル,混,供する,キョウスル,51441
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,先週,先週,,センシュウ,名詞-普通名詞-副詞可能,,,センシュー,センシュウ,漢,先週,センシュウ,20482
現代語,I,など,など,,ナド,助詞-副助詞,,,ナド,ナド,和,など,ナド,27905
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,一,一,,イチ,名詞-数詞,,,イチ,イチ,漢,一,イチ,2050
現代語,I,年,年,,ネン,名詞-普通名詞-助数詞可能,,,ネン,ネン,漢,年,ネン,28927
現代語,I,生,生,,セイ,接尾辞-名詞的-一般,,,セー,セイ,漢,生,セイ,19690
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,G,Ｇ,,ジー,記号-文字,,,ジー,ジー,記号,G,ジー,18833
現代語,I,i,Ｉ,,アイ,記号-文字,,,アイ,アイ,記号,i,アイ,81
現代語,I,t,Ｔ,,ティー,記号-文字,,,ティー,ティー,記号,t,ティー,24900
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,使い,使う,,ツカウ,動詞-一般,五段-ワア行,連用形-一般,ツカイ,ツカイ,和,使う,ツカウ,24457
現代語,I,方,方,,カタ,接尾辞-名詞的-一般,,,カタ,カタ,和,方,カタ,6596
